Date,Open,High,Low,Close,Adj Close,Volume
07/07/2000,102.6875,105.0625,101.625,105.0625,66.862267,9031700
10/07/2000,104.6875,104.9375,102.875,103.3125,65.748573,4212200
11/07/2000,103.25,104,101,102,64.913254,5619800
12/07/2000,103.1875,105.875,102.625,104.625,66.583855,5550500
13/07/2000,105.4375,105.9375,102,104,66.18605,5669700
14/07/2000,103.75,104.875,103.125,103.9375,66.146294,4020000
17/07/2000,104.4375,107.875,104.1875,105.5,67.140663,6632700
18/07/2000,104.125,104.8125,102.625,103.3125,65.748573,6452700
19/07/2000,102.375,109.5,101,108.75,69.209007,7781400
20/07/2000,112,117.8125,111.75,117.25,74.618408,23048400
21/07/2000,117,117,113.75,114.75,73.027397,8966400
24/07/2000,114.125,115.625,111.625,112.5,71.595505,6814400
25/07/2000,113.25,113.375,110.25,112,71.277321,5566900
26/07/2000,111,112.375,108.875,109.875,69.924957,6670400
27/07/2000,109.875,111.5,109.3125,110.3125,70.203339,4047400
28/07/2000,111.125,112.5,108.875,111.8125,71.157974,5355600
31/07/2000,110.5,113.6875,110.0625,112.25,71.436386,5113500
01/08/2000,112,112.4375,110.25,110.5,70.322701,2996500
02/08/2000,111,114.875,110.75,114.25,72.709229,5877900
03/08/2000,113,116.5,112.3125,116,73.822929,5567400
04/08/2000,116,116.5,114.3125,115.875,73.743378,4460500
07/08/2000,116.625,119,115.8125,116.3125,74.021759,5910700
08/08/2000,115.6875,119.625,115.5625,118.875,75.737244,5736700
09/08/2000,119,120.8125,118.75,118.75,75.657623,6585400
10/08/2000,118.75,120.25,117.875,119.75,76.294693,5484100
11/08/2000,119.75,121.8125,119.1875,120.625,76.85218,6142400
14/08/2000,120,123.6875,119.3125,123.25,78.52462,4949400
15/08/2000,122.0625,122.625,120.75,122,77.728218,4378100
16/08/2000,121.0625,122.9375,119.5,122.375,77.967155,5946000
17/08/2000,119.75,122.8125,119.5,122.5,78.046791,4338400
18/08/2000,122.375,123.375,120.125,120.4375,76.732719,4127500
21/08/2000,121.0625,122.1875,120.0625,121.4375,77.369843,3234200
22/08/2000,121.1875,122.1875,121,121.375,77.33004,2769400
23/08/2000,120.3125,123.75,119.875,123.25,78.52462,4251200
24/08/2000,123,125.4375,122.6875,124.8125,79.520119,5988300
25/08/2000,124.3125,129.875,124.25,129,82.188042,8279000
28/08/2000,129.875,133.1875,129.75,131.5,83.780838,8536600
29/08/2000,131.5,134.25,131,132.875,84.656837,6040000
30/08/2000,130.75,131.5,129.5625,130.3125,83.024277,4928800
31/08/2000,131.875,134.1875,131.625,132.015625,84.10936,5469500
01/09/2000,133.0625,134.9375,132.625,133.625,85.134689,5776300
05/09/2000,132.8125,133.3125,130.8125,131.1875,83.581772,4112100
06/09/2000,130.875,134.875,130.375,131.4375,83.741051,6473000
07/09/2000,131.875,134.5,131.875,133.375,84.975433,4622800
08/09/2000,132.5,132.9375,129.375,129.5,82.506607,4993700
11/09/2000,127.875,128.25,123.625,124.5,79.321014,7617700
12/09/2000,124.8125,126.875,124.0625,125,79.639549,5001700
13/09/2000,123.125,128.8125,122.75,127.6875,81.351845,5473600
14/09/2000,128,129.1875,126.3125,126.875,80.834137,4425500
15/09/2000,126.8125,127.25,124.75,125,79.639549,5481700
18/09/2000,125.25,126,123.0625,123.25,78.52462,3932800
19/09/2000,122.75,126.25,122.5625,124.9375,79.599731,3341000
20/09/2000,124.6875,126.5625,123.5,124.75,79.480301,4623400
21/09/2000,124.1875,126.6875,120,121.5,77.409683,4302200
22/09/2000,123,124.3125,121.3125,123.875,78.922821,5930100
25/09/2000,124.5,126.625,121,123,78.365334,4291000
26/09/2000,120,121.875,118.375,119.125,75.896484,6217200
27/09/2000,120.0625,120.3125,115.5,118,75.179771,5948900
28/09/2000,117.375,118.875,115,115.25,73.427681,5309100
29/09/2000,115.5,116.9375,110.25,112.625,71.755234,9594600
02/10/2000,112.625,119.625,112.625,117.8125,75.060303,8872200
03/10/2000,118.875,119.375,110,110.5625,70.441223,11744200
04/10/2000,110.375,114.875,108.5625,114.375,72.870186,11668900
05/10/2000,113.8125,114.5625,111.5625,113.1875,72.113625,5547000
06/10/2000,114,116.125,112.75,116,73.90554,6108400
09/10/2000,115.9375,119.375,114.3125,117.9375,75.139954,4898000
10/10/2000,116.625,117.125,112.4375,114.875,73.188774,5614200
11/10/2000,111.875,112.9375,107.5,112,71.357071,8775800
12/10/2000,114.25,114.375,103.125,103.125,65.70266,9704900
13/10/2000,104.1875,110.4375,104.1875,109.0625,69.485535,9092600
16/10/2000,111.5,113.125,108.5625,111.125,70.799561,7710400
17/10/2000,111.9375,113.875,108.5625,113,71.994164,8882500
18/10/2000,96.75,99.125,90.25,95.4375,60.804798,29777800
19/10/2000,98,98.5,92.6875,96.4375,61.441952,17966900
20/10/2000,95.125,96.25,94.1875,94.75,60.366798,9369200
23/10/2000,94.75,95,91.0625,92.875,59.172218,9338600
24/10/2000,93,94.375,90.1875,91.4375,58.256348,8826200
25/10/2000,90.5,90.9375,86.9375,87.5625,55.787502,14058500
26/10/2000,88,92.875,87.625,92.75,59.092564,10135700
